chunk,embedding_index
"(3) By the time she was fifteen years old she was married to Amenhotep IV and, after the death of Amenhotep III, she became queen of Egypt. It is at this stage that some scholars claim she most exerted her influence on Amenhotep IV to abandon the ancient religion of Egypt and initiate his religious reforms but, again, this is unsubstantiated. The 4th-century CE Coptic Christians called the statue Bel-hit (The Guardian), and this name is still used today. Egyptians of the present day do not refer to the statue as 'the Sphinx' unless they are discussing it with foreign tourists. The piece is known in Egyptian Arabic as Abu al-Hawl, 'The Father of Terror,' and has been claimed to be an idolatrous abomination by some extreme factions of Islam. In 2012 CE, in fact, clerics associated with the taliban called for the destruction of the Sphinx and the pyramids of Giza for this reason. The Giza plateau in antiquity was vastly different in appearance to how it is in the present day. Archaeologists and geologists working in the region have found evidence, through patterns of erosion, fossilized plant and animal material, and artifacts, that the area some 8,000 years ago was once quite fertile and lush with vegetation. Water was abundant and underground aquifers are still, as evidenced by the difficulties Zahi Hawass and his team had in exploring the Osiris Shaft of the Great Pyramid in 1999 CE due to the high water table. Rainfall was plentiful in the region c. 15,000 BCE, and though it became less so in time, the area was still quite fertile at the time of the 4th Dynasty.",49
"The capital of Egypt during the Old Kingdom was the nearby city of Memphis; Giza was chosen as the necropolis for the kings of the 4th Dynasty, the great pyramid builders, because it had been used by rulers during the Early Dynastic Period of Egypt (c. 3150-2613 BCE) and possibly even the Predynastic Period (c. 6000-c. 3150 BCE). King Djoser (c. 2670 BCE) had already built his famous Step Pyramid and complex at Saqqara while, at Giza, there were only mastaba tombs. King Sneferu (c. 2613-2589 BCE) perfected the art of pyramid building through his work on the Meidum Pyramid, Bent Pyramid, and Red Pyramid. By the time King Khufu came to the throne in 2589 BCE Egyptians understood well how to work in stone and how to create monuments on a grand scale. Most likely Khufu chose Giza as the site for his Great Pyramid in order to showcase the work in the best setting and away from predecessor's creations. Khafre succeeded Khufu and began his own pyramid complex next to his father's. The Sphinx is credited to him because the creature's face resembles his as it appears in statuary and because of the way in which the Sphinx seems to have been carved. The theory goes that, in the process of building Khafre's pyramid, workers uncovered a large mass of rock considered unsuitable for the pyramid complex and carved the statue from it. Historians Bob Brier and Hoyt Hobbs comment on this: Khafre's pyramid [was faced with a] gleaming casing of white limestone, transported by boats from quarries across the Nile [and] laid over interior limestone blocks which were cut from the surrounding Giza site. Probably in the course of freeing these interior blocks, quarrymen struck a seam of harder rock they avoided, leaving a small hill.",50
"Khafre had the outcrop carved in the shape of a recumbent lion bearing his own face - the famous Sphinx. (16) Memphis, city and capital of ancient Egypt and an important centre during much of Egyptian history. Memphis is located south of the Nile River delta, on the west bank of the river, and about 15 miles (24 km) south of modern Cairo. Closely associated with the ancient city’s site are the cemeteries, or necropolises, of Memphis, where the famous pyramids of Egypt are located. From north to south the main pyramid fields are: Abū Ruwaysh, Giza, Zāwiyat al-ʿAryān, Abū Ṣīr, Ṣaqqārah, and Dahshūr. The Memphis archaeological zone was designated a UNESCO World Heritage site in 1979. During the months after the coup d'état, a new constitution was prepared, which took effect on 18 January 2014. After that, presidential and parliamentary elections have to be held in June 2014. On 24 March 2014, 529 Morsi's supporters were sentenced to death, while the trial of Morsi himself was still ongoing. Having delivered a final judgement, 492 sentences were commuted to life imprisonment with 37 death sentences being upheld. On 28 April, another mass trial took place with 683 Morsi supporters sentenced to death for killing 1 police officer. In 2015, Egypt participated in the Saudi Arabian-led intervention in Yemen. In the elections of June 2014 El-Sisi won with a percentage of 96.1%. On 8 June 2014, Abdel Fatah el-Sisi was officially sworn in as Egypt's new president. Egypt has implemented a rigorous policy of controlling the border to the Gaza Strip, including the dismantling of tunnels between the Gaza strip and Sinai. In April 2018, El-Sisi was re-elected by landslide in election with no real opposition. In April 2019, Egypt's parliament extended presidential terms from four to six years.",51
"President Abdel Fattah al-Sisi was also allowed to run for third term in next election in 2024. Under El-Sisi Egypt is said to have returned to authoritarianism. New constitutional reforms have been implemented, meaning strengthening the role of military and limiting the political opposition. The constitutional changes were accepted in a referendum in April 2019. Amenhotep I maintained his father's policies and emulated him as a warrior king in inscriptions but probably only led campaigns in Nubia. There are no records of him leading expeditions into Palestine or Syria but he may have since those regions remained secure during his reign and that of his successor. Amenhotep I is best known for his contributions to the arts and religious developments. The Book of Coming Forth by Day (better known as The Egyptian Book of the Dead) attained its final form under his reign and he was the patron of the artist's colony of Deir el-Medina, the village responsible for work done on the tombs in the Valley of the Kings where the great pharaohs were buried. He concentrated his efforts on creating temples, stelae, and securing the borders but made no serious attempts at expanding Egypt's territory. Upon his death he was deified as the god of the artisans of Deir el-Medina and was venerated by a funerary cult in his name. He was succeeded by Thutmose I (1520-1492 BCE) who instantly began campaigns to broaden Egypt's reach. Thutmose I put down a rebellion in Nubia which broke out shortly after he came to the throne, personally killing the Nubian king and hanging his body from his ship's prow as a warning to other rebels. He then expanded Egypt's hold on Nubia further south before turning his attention to Palestine and Syria.",52
"He added to the great Temple of Karnak at Thebes and erected numerous other temples and monuments throughout Egypt. He was succeeded by Thutmose II (1492-1479 BCE) about whose reign little is known because he was instantly overshadowed by his more powerful half-sister Hatshepsut. Thutmose II was the son of Thutmose I by a lesser queen while Hatshepsut was Thutmose I's legitimate daughter and, according to her inscriptions, his designated heir. Thutmose II married Hatshepsut to secure his succession after Thutmose I's death but no records survive which suggest he ever had any real power. He may have ordered military expeditions into Syria but led none himself and it is actually thought that these campaigns were commissioned by his half-sister/wife. Hatshepsut (1479-1458 BCE) is among the most powerful and successful of the New Kingdom monarchs. She had one child with Thutmose II and he had another by a minor wife whom he designated as successor, Thutmose III (1458-1425 BCE). Hatshepsut was named regent of Egypt upon Thutmose II's death and ostensibly co-ruled with the child Thutmose III but she had been the power behind her husband's reign and continued to do as she thought best after his death. Hatshepsut is responsible for more building projects than any other Egyptian ruler except for Ramesses the Great (1279-1213 BCE). She organized and commissioned the most successful expedition to the Land of Punt, contributed her own works to the temple at Karnak, and ruled in peace with Nubia to the south. Her building projects were so beautiful, and so numerous, that later pharaohs claimed them as their own. They were able to do this because, sometime around 1458 BCE, Hatshepsut's name was removed from all her monuments, including her magnificent complex at Deir el-Bahri.",53
"It is unclear why her name was removed, or by whom, but it seems it was the work of her successor Thutmose III who tried to blot out the reign of a female pharaoh in order to maintain the traditional gender roles in the culture. He may have felt that a strong and successful female ruler would empower other women to seek power and so upset the natural balance. Thutmose III was handed a prosperous and stable nation in 1458 BCE and took no time to begin improving upon it. It is Thutmose III who creates the Egyptian Empire which would be maintained by his successors. He used the war chariot inherited from the Hyksos, as well as bronze weapons and superior tactics, to defeat the surrounding nations and expand Egypt's domain further than it had ever reached in the past. The kings enjoyed an existence largely free from want. They had power and prestige, servants to do the menial work, plenty of free time to pursue leisure pursuits, fine clothes, and numerous luxuries in their homes. (10) The king is often depicted hunting and inscriptions regularly boast of the number of large and dangerous animals a particular monarch killed during his reign. Almost without exception, though, animals like lions and elephants were caught by royal game wardens and brought to preserves where the king then ""hunted"" the beasts while surrounded by guards who protected him. The king would hunt in the open, for the most part, only once the area had been cleared of dangerous animals. Members of the court lived in similar comfort, although most of them had little responsibility. The nomarchs might also live well, but this depended on how wealthy their particular district was and how important to the king.",54
"The nomarch of a district including a site such as Abydos, for example, would expect to do quite well because of the large necropolis there dedicated to the god Osiris, which brought many pilgrims to the city including the king and courtiers. A nomarch of a region which had no such attraction would expect to live more modestly. The wealth of the region and the personal success of an individual nomarch would determine whether they lived in a small palace or a modest home. This same model applied generally to scribes. Scribes were valued highly in ancient Egypt as they were considered specially chosen by the god Thoth, who inspired and presided over their craft. Egyptologist Toby Wilkinson notes how ""the power of the written word to render permanent a desired state of affairs lay at the heart of Egyptian belief and practice"" (204). It was the scribes' responsibility to record events so they would become permanent. The words of the scribes etched daily events in the record of eternity since it was thought that Thoth and his consort Seshat kept the scribes' words in the eternal libraries of the gods. A scribe's work made him or her immortal not only because later generations would read what they wrote but because the gods themselves were aware of it. Seshat, patron goddess of libraries and librarians, carefully placed one's work on her shelves, just as librarians in her service did on earth. Most scribes were male, but there were female scribes who lived just as comfortably as their male counterparts. A popular piece of literature from the Old Kingdom, known as Duauf's Instructions, advocates a love for books and encourages young people to pursue higher learning and become scribes in order to live the best life possible.",55
"All priests were scribes, but not all scribes became priests. The priests needed to be able to read and write to perform their duties, especially concerning mortuary rituals. As doctors needed to be literate to read medical texts, they began their training as scribes. Most diseases were thought to be inflicted by the gods as punishment for sin or to teach a lesson, and so doctors needed to be aware of which god (or evil spirit, or ghost, or other supernatural agent) might be responsible. In the fifth year of his reign (some sources claim the ninth), Amenhotep IV changed his name to Akhenaten, abolished the religious practices of Egypt, closed the temples, and decreed Aten the one true god. While it is possible he created monotheism out of a genuine religious conviction, it is more probable that it was a political manoeuver to cut the power and wealth of the priests of the god Amun, whose cult was extremely popular. Throughout the 18th dynasty the cult of Amun had increasingly grown in wealth and prestige so that, by Akhenaten's time, the cult's priests were almost as powerful as pharaoh. Instituting monotheism, and proscribing the old religion, would have completely restored power to the throne; and that is precisely what it did. The god Aten was now considered not only a powerful god of Egypt but the god of creation, the one true god of the universe. ...at the site of Akhetaten (Amarna), the new city dedicated to the god Aten. In the sixth year [of Akhenaten's reign] Nefertiti's name was changed to Nefernefruaten which means `Beautiful in beauty is Aten'. Nefertiti lived with Akhenaten in Amarna where he conducted religious services to Aten.",56
"(Bunson, 185) The couple had six daughters: Meritaten, Meketaten, Ankhesenpaaten, Nefernefruaten-tasherit, Neferneferure, and Setepenre, but no sons. With his lesser wife, Kiya, Akhenaten had two sons, Tutankhamun and possibly Smenkhkare (though Smenkhare's lineage is disputed). Akhenaten married two of these daughters, Meritaten and Ankhesenpaaten (later, Ankhsenamun, wife of Tutankhamun) and may have had children with them (though this is also disputed). What is clear, however, from stele and inscriptions which survived the later purge of their reign, is that the royal couple was deeply devoted to each other and constantly together or with their daughters. Regarding Nefertiti's physical appearance at this time, Heller writes: It is surmised that she must have been about four feet, six inches tall, the height of an average Egyptian woman of the time. It is known from her depictions that she often went about scantily dressed, as was customary in the warm climate. Otherwise, she appeared in the traditional garb of a clinging gown tied by a girdle with ends falling in front; at times, she is depicted coiffed with a short wig. She probably had a shaven head to improve the fit of her unusual tall blue crown. It is known that she identified with her husband's heresy and that, according to Akhenaten's poetry, he loved her dearly. It is also known that her beauty was legendary. (3) The royal family originally lived at the palace of Malkata in Thebes, which was built under the reign of Amenhotep III but renovated under Akhenaten and re-named Tehen Aten (meaning `the splendor of Aten). The historian Barbara Watterson describes the palace: The Sphinx is directly in line with Khafre's pyramid complex and this also supports the claim that he was its creator.",57
"The location of the statue, however, and how it lines up with Khafre's complex, has led some scholars (such as Stadelmann of the German Archaeological Institute of Cairo) to believe that the Sphinx already existed when Khafre came to the throne and his complex was purposefully designed to line up with the sculpture. The famous English Egyptologist E. Wallis Budge (1857-1934 CE) claimed that the Sphinx was much older than Khafre's time and could have been created in the Early Dynastic Period or even earlier. Dobrev, as noted, claimed in 2004 that the statue was completed by Khafre's brother Djedfre in honor of his father Khufu and that the face of the statue resembles Khufu's far more than Khafre's. Dobrev also agrees with Stadelmann that Khafre's complex was oriented to the Sphinx rather than the statue being carved during or shortly after construction. Certain evidence, however, strongly argues for construction during Khafre's reign. The face of the creature aside, it is positively known that the limestone which constitutes the Sphinx is the same as that used in Khafre's pyramid. The kind of technical skill evidenced in the creation of the Sphinx can be seen in statues of Khafre and statuary of the gods from this time in the Old Kingdom. The orientation of Khafre's complex strongly suggests that it was built with Khufu's pyramid and complex in mind, not the statue, and that the Sphinx was created during or shortly after his pyramid. Further evidence that the Sphinx was created after the pyramids comes from an inscription on the left paw of the statue dating to 166 CE. The inscription commemorates a restoration project by the Romans of the walls which surrounded the statue at that time.",58
"The inscription was first discovered in 1817 by Caviglia (1770-1845 CE) in his excavations at Giza and was translated and published by the English polymath and occasional rival of Champollion, Thomas Young (1773-1829 CE), in the Quarterly Review, Volume 19 of 1818 CE. Although this inscription does not verify any given date of construction it does suggest that, during the period of Roman Egypt, the statue was understood to be younger than the pyramids as it states how the creators of the monument ""near the pyramids have bid thee stand"" and how the purpose of the Sphinx was to watch over the ""beloved prince"" buried nearby (Leitch, 200). The inscription could be interpreted, however, to mean the Sphinx watches over the present monarch of Egypt in 166 CE - the Roman Emperor - and the earlier line merely a poetic way of saying the Sphinx was located near the pyramids at that time. The inscription can be read either way and, further, is missing some lines near the end. Still, those who accept the orthodox dating of the statue to the 4th Dynasty point to the inscription as a later proof of their claim. Even so, the Sphinx defies such an easy and comfortable placement in time. Human beings, all protests to the contrary, cannot tolerate a mystery. Mysteries are only intriguing if they conclude with clarity of resolution; the Sphinx offers no such clear-cut conclusion. According to a commonly accepted tradition, Memphis was founded about 2925 bce by Menes, who supposedly united the two prehistoric kingdoms of Upper and Lower Egypt. The original name of the city was the White Walls, and the term may have referred originally to the king’s palace, which would have been built of whitewashed brick.",59
"The modern name of Memphis is a Greek version of the Egyptian Men-nefer, the name of the nearby pyramid of the 6th-dynasty (c. 2325–c. 2150 bce) king Pepi I. Another geographic term for Memphis, Hut-ka-Ptah (“mansion of the ka of Ptah”), rendered Aigyptos in Greek, was later applied to the country as a whole. Ptah, the local god of Memphis, was a patron of craftsmen and artisans and, in some contexts, a creator god as well. The great temple of Ptah was one of the city’s most prominent structures. According to an Egyptian document known as the “Memphite Theology,” Ptah created humans through the power of his heart and speech; the concept, having been shaped in the heart of the creator, was brought into existence through the divine utterance itself. In its freedom from the conventional physical analogies of the creative act and in its degree of abstraction, this text is virtually unique in Egypt, and it testifies to the philosophical sophistication of the priests of Memphis. The prominence of Memphis during the earliest periods is indicated by the extensive cemeteries of the Early Dynastic period (c. 2925–c. 2575 bce) and Old Kingdom (c. 2575–c. 2130 bce) that cluster along the desert bluffs to the west. Large elaborately niched tombs of the 1st and 2nd dynasties (c. 2925–c. 2650 bce) found at Ṣaqqārah, once argued to be royal monuments, were later accepted as private tombs of powerful courtiers. Memphis reached preeminence by the 3rd dynasty. The 3rd-century-bce historian Manetho calls the 3rd and 4th dynasties (c. 2650–c. 2465 bce) Memphite, and the huge royal pyramid tombs of this period, in the necropolises of Memphis, confirm this.",60
"Djoser, the second king of the 3rd dynasty, was the builder of the Step Pyramid of Ṣaqqārah, the earliest royal foundation at Memphis and the first important stone building in Egypt. Imhotep, the king’s architect and adviser, is credited with this architectural feat; his reputation as a wise man and physician led in later times to his deification and his identification with the Greek god Asclepius. The remains of several unfinished or badly ruined pyramids near Memphis have been attributed to other 3rd-dynasty kings. The first king of the 4th dynasty, Snefru, built two pyramid tombs at Dahshūr. The three great pyramids of Giza belong to Khufu, Khafre, and Menkaure, later 4th-dynasty monarchs. The Great Sphinx at Giza dates from the time of Khafre. The last known king of this dynasty, Shepseskaf, built his tomb at South Ṣaqqārah. It was not a pyramid but a distinctive oblong structure with sloping sides, now called the Maṣṭabat Firʿawn. Following the Islamic conquest in 641-642, Lower Egypt was ruled at first by governors acting in the name of the Rashidun Caliphs and then the Umayyad Caliphs in Damascus, but in 750 the Umayyads were overthrown. Throughout Islamic rule, Askar was named the capital and housed the ruling administration. The conquest led to two separate provinces all under one ruler: Upper and Lower Egypt. These two very distinct regions were governed by the military and followed the demands handed down by the governor of Egypt and imposed by the heads of their communities. Ancient Egypt spans the period of Egyptian history from the early prehistoric settlements of the northern Nile valley to the Roman conquest of Egypt in 30 BC.",61
"The pharaonic period, the period in which Egypt was ruled by a pharaoh, is dated from the 32nd century BC, when Upper and Lower Egypt were unified, until the country fell under Macedonian rule in 332 BC. According to most scholars the history of modern Egypt dates from the start of the rule of Muhammad Ali in 1805 and his launching of Egypt's modernization project that involved building a new army and suggesting a new map for the country, though the definition of Egypt's modern history has varied in accordance with different definitions of modernity. Some scholars date it as far back as 1516 with the Ottomans' defeat of the Mamlūks in 1516–17. In December 2020, final results of the parliamentary election confirmed a clear majority of the seats for Egypt's Mostaqbal Want (Nation's Future) Party, which strongly supports president El-Sisi. The party even increased its majority, partly because of new electoral rules. During the 2020–2021 Tigray War, Egypt was also involved. On 19 December 2020, an EEPA report stated, based on testimonials of three Egyptian officials and one European diplomat, that the UAE used its base in Assab (Eritrea) to launch drones strikes against Tigray. The investigative platform Bellingcat confirmed the presence of Chinese-produced drones at the UAE's military base in Assab, Eritrea. Egyptian officials were concerned about strengthening ties between the UAE and Israel. They fear that both countries will collaborate in the construction of an alternative to the Suez Canal, starting from Haifa in Israel. On 19 December 2020, Egypt was reportedly encouraging Sudan to support the TPLF in Tigray. It wants to strengthen a joint position in relation to negotiations on the GERD Dam, which impacts both countries downstream.",62
"In 20 years he led at least 17 different military campaigns , subduing kingdoms from Libya to Syria into Egyptian subjects and extending Egypt's control in the south from the area around Buhen down to Kurgus. His inscriptions and monuments tell his story so completely he is regarded as one of the best-documented rulers in Egyptian history after Ramesses II. He was succeeded by his son Amenhotep II (1425-1400 BCE) who, like his father, inherited a strong and secure kingdom and improved on it. He was not as active in military campaigns as his father but commissioned numerous building projects and concluded peace treaties and trade documents with other nations such as the Mitanni. His successor, Thutmose IV (1400-1390 BCE), continued his policies. Thutmose IV is considered a usurper, even though he is the legitimate son of Amenhotep II, based upon interpretations of his famous Dream Stele which tells the story of how he came to the throne. He is best known as the pharaoh who restored the Great Sphinx at Giza. He is succeeded by Amenhotep III (1386-1353 BCE) who is also considered one of the most successful and powerful rulers of Egypt. Amenhotep III reigned over Egypt at one of its highest points culturally, politically, and economically. His reign is among the most opulent in the history of Egypt and he consistently used his wealth in dealings with other countries to coax them into doing what he wanted. He maintained a stable rule of the country, expanded its borders, and devoted himself to the arts and building projects. Many of the most impressive Egyptian monuments come from his reign. During his time, however, the priests of Amun began to acquire more and more wealth.",63
"They owned more land than the king and made use of it to further enrich themselves. Amenhotep III tried to quell their growing power by aligning himself with a minor god, Aten, represented by a sun disc. It seems he thought the power of pharaoh behind the cult of Aten would increase the prestige of those priests at the expense of those of Amun. His plan did not work but it did elevate the god Aten who would feature prominently in the reign of Amenhotep's son and successor. Amenhotep IV is better known as Akhenaten (1353-1336 BCE) the pharaoh famous for instituting monotheism in Egypt and banishing the old gods. The time of his reign has come to be known as the Amarna Period because the Egyptian capital was moved from Thebes to modern-day Amarna. He came to the throne as Amenhotep IV but, in the fourth or fifth year of his reign, changed his name to Akhenaten, abolished the old religion - especially the cult of Amun - and elevated the god Aten to the position of the one true god. In order to perform their duties, they had to be able to read the religious literature of the time, which includes works on dentistry, surgery, the setting of broken bones, and the treatment of various illnesses. As there was no separation between one's religious and daily life, doctors were usually priests until later in Egypt's history when there is a secularization of the profession. All of the priests of the goddess Serket were doctors and this practice continued even after the emergence of more secular physicians. As in the case of scribes, women could practice medicine, and female doctors were numerous.",64
"In the 4th century BCE, Agnodice of Athens famously traveled to Egypt to study medicine since women were held in higher regard and had more opportunity there than in Greece. The military prior to the Middle Kingdom was made up of regional militias conscripted by nomarchs for a certain purpose, usually defense, and then sent to the king. At the beginning of the 12th Dynasty of the Middle Kingdom, Amenemhat I (c. 1991-c.1962 BCE) reformed the military to create the first standing army, thus decreasing the power and prestige of the nomarchs and putting the army directly under his control. After this, the military was made up of upper-class leaders and lower-class rank and file members. There was the possibility of advancement in the military, which was not affected by one's social class. Prior to the New Kingdom, the Egyptian military was primarily concerned with defense, but pharaohs like Tuthmose III (1458-1425 BCE) and Ramesses II (1279-1213 BCE) led campaigns beyond Egypt's borders in expanding the empire. Egyptians generally avoided travel to other lands because they feared that, if they should die there, they would have greater difficulty reaching the afterlife. This belief was a definite concern of soldiers on foreign campaigns and provisions were made to return the bodies of the dead to Egypt for burial. There is no evidence that women served in the military or, according to some accounts, would have wanted to. The Papyrus Lansing, to give only one example, describes life in the Egyptian army as unending misery leading to an early death. It should be noted, however, that scribes (especially the author of the Papyrus Lansing) consistently depicted their job as the best and most important, and it was the scribes who left behind most of the reports on military life.",65
"The lowest social class was made up of peasant farmers who did not own the land they worked or the homes they lived in. The land was owned by the king, members of the court, nomarchs, or priests. A common phrase of the peasants to start the day was ""Let us work for the noble!"" The peasants were almost all farmers, no matter what other trade they cultivated (ferryman, for example). They planted and harvested their crops, gave most of it to the land owner, and kept some for themselves. Most had private gardens, which women tended while the men went out to the fields. The royal apartments were built on an especially grand scale: the king's bedroom, for example, measured nearly 8 metres by 5 [26 feet by 16.5], and this excludes a raised recess to house the royal bed. The floor in the great hall of the king's palace was painted to represent a pool in the marshes and that in the palace next door a pool with plants and water birds. The entire ceiling of the great hall was patterned with flying vultures; that of the king's bedroom with a row of vultures. The ceilings of many rooms in the palace were painted with spirals and interweaving designs, combined with naturalistic forms such as flying birds. (151) In 1858 CE the archaeologist Auguste Mariette (1821-1881 CE) discovered the inscriptions now known as the Inventory Stele near the pyramid of Khufu. This stele lists 22 statues of The Temple of Isis at Giza and very clearly states that Khufu erected a monument near the Sphinx; therefore the statue must have existed prior to the rule of Khufu and so earlier than Khafre.",66
"If the Inventory Stele dated from the 4th Dynasty, it would indeed be compelling evidence that the Sphinx pre-existed the reigns of Khufu and Khafre; but it does not. The Inventory Stele has been positively dated to the 26th Dynasty of the Third Intermediate Period of Egypt (c. 1069-525 BCE). The Egyptians at this time regularly invoked the names of earlier kings, especially the pyramid builders, in an effort to recall the glory of the past. It seems clear that whoever carved the Inventory Stele was purposefully trying to elevate the status of the Temple of Isis by making it appear older than it actually was in dating it to the time of the great Khufu. Actually, the ruins of the Temple of Isis at Giza date to the Middle Kingdom (2040-1782 BCE) long after Khufu's reign. The royal pyramids are surrounded by large cemeteries where the courtiers and officials who had served the king during his lifetime were buried. The beautiful reliefs in certain of these tombs include scenes of daily life and thus give some idea of the crafts, costumes, and occupations of the royal court of Memphis. Since little has survived of domestic architecture and household furnishings, these reliefs are a valuable source of information on such subjects. A notable exception to the general rule of loss and destruction is the hidden tomb of Queen Hetepheres, the mother of Khufu, which was discovered near the Great Pyramid of Giza. Though the queen’s body was unaccountably missing from her sarcophagus, her funerary equipment and furniture survived. The exquisite craftsmanship of these objects testify, as do the splendid low reliefs of the tombs, to the high development of the arts and crafts of the period.",67
"Indeed, it is believed by some scholars that the Old Kingdom, influenced by the craftsmen of the Memphite court and the philosopher-theologians of Ptah, reached a peak of “classic” culture that was never surpassed in Egypt. Egypt was ruled by many dynasties from the start of Islamic control in 639 until the early 16th century. The Umayyad period lasted from 658 to 750. The Abbasid period which came after was much more focused on taxes and centralizing power. In 868, the Tulunids, ruled by Ahmad ibn Tulun, expanded Egypt's territory into the Levant. He would rule until his death in 884. After years of turmoil under Ahmad ibn Tulun's successor, many citizens defected back to the Abbasids and in 904 they would reclaim power from the Tulunids. In 969, Egypt came under the control of the Fatimids. This dynasty would begin to fade after the death of their last ruler in 1171. In 1174, Egypt came under the rule of the Ayyubids, who ruled from Damascus and not from Cairo. This dynasty fought against the Crusader States during the Fifth Crusade. Ayyubid Sultan Najm al-Din recaptured Jerusalem in 1244. He introduced Mamluk forces into his army in order to hold off the crusaders. This decision would be one he regretted. The Ayyubids were overthrown by their bodyguards, known as the Mamluks in 1252 and ruled until 1517, when Egypt became part of the Ottoman Empire under the Eyālet-i Mıṣr province. Egypt's history is split into several different periods according to the ruling dynasty of each pharaoh. The dating of events is still a subject of research. The conservative dates are not supported by any reliable absolute date for a span of about three millennia. The following is the list according to conventional Egyptian chronology.",68
"The Nile has been the lifeline for Egyptian culture since nomadic hunter-gatherers began living along it during the Pleistocene. Traces of these early people appear in the form of artefacts and rock carvings along the terraces of the Nile and in the oases. Along the Nile in the 12th millennium BC, an Upper Paleolithic grain-grinding culture using the earliest type of sickle blades had replaced the culture of hunting, fishing, and hunter-gatherers using stone tools. Despite evidence indicating human habitation and cattle herding in the southwestern corner of Egypt near the Sudan border before the 8th millennium BC, the idea of an independent bovine domestication event in Africa must be abandoned because subsequent evidence gathered over a period of thirty years has failed to corroborate this. Archaeological evidence has attested that population settlements occurred in Nubia as early as the Late Pleistocene era and from the 5th millennium BC onwards, whereas there is ""no or scanty evidence"" of human presence in the Egyptian Nile Valley during these periods, which may be due to problems in site preservation. The oldest-known domesticated cattle remains in Africa are from the Faiyum c. 4400 BC. Geological evidence and computer climate modeling studies suggest that natural climate changes around the 8th millennium BC began to desiccate the extensive pastoral lands of North Africa, eventually forming the Sahara by the 25th century BC. Continued desiccation forced the early ancestors of the Egyptians to settle around the Nile more permanently and forced them to adopt a more sedentary lifestyle. However, the period from 9th to the 6th millennium BC has left very little in the way of archaeological evidence. The Nile valley of Egypt was basically uninhabitable until the work of clearing and irrigating the land along the banks was started.",69
"However, it appears that this clearance and irrigation was largely under way by the 6th millennium. By that time, Nile society was already engaged in organized agriculture and the construction of large buildings. Cleopatra (born 70/69 bce—died August 30 bce, Alexandria) was an Egyptian queen of the Ptolemaic dynasty, famous in history and drama as the lover of Julius Caesar and later as the wife of Mark Antony. She became queen on the death of her father, Ptolemy XII, in 51 bce and ruled successively with her two brothers Ptolemy XIII (51–47) and Ptolemy XIV (47–44) and her son Ptolemy XV Caesar (44–30). After the Roman armies of Octavian (the future emperor Augustus) defeated their combined forces, Antony and Cleopatra committed suicide, and Egypt fell under Roman domination. Cleopatra actively influenced Roman politics at a crucial period, and she came to represent, as did no other woman of Classical antiquity, the prototype of the romantic femme fatale. Daughter of King Ptolemy XII Auletes, Cleopatra was destined to become the last queen of the Macedonian dynasty that ruled Egypt between the death of Alexander the Great in 323 bce and its annexation by Rome in 30 bce. The line had been founded by Alexander’s general Ptolemy, who became King Ptolemy I Soter of Egypt. Cleopatra was of Macedonian descent and had little, if any, Egyptian blood, although the Classical author Plutarch wrote that she alone of her house took the trouble to learn Egyptian and, for political reasons, styled herself as the new Isis, a title that distinguished her from the earlier Ptolemaic queen Cleopatra III, who had also claimed to be the living embodiment of the goddess Isis.",70
"Coin portraits of Cleopatra show a countenance alive rather than beautiful, with a sensitive mouth, firm chin, liquid eyes, broad forehead, and prominent nose. When Ptolemy XII died in 51 bce, the throne passed to his young son, Ptolemy XIII, and daughter, Cleopatra VII. It is likely, but not proven, that the two married soon after their father’s death. The 18-year-old Cleopatra, older than her brother by about eight years, became the dominant ruler. Evidence shows that the first decree in which Ptolemy’s name precedes Cleopatra’s was in October of 50 bce. Soon after, Cleopatra was forced to flee Egypt for Syria, where she raised an army and in 48 bce returned to face her brother at Pelusium, on Egypt’s eastern border. The murder of the Roman general Pompey, who had sought refuge from Ptolemy XIII at Pelusium, and the arrival of Julius Caesar brought temporary peace. Muhammad Ali's dynasty became practically independent from Ottoman rule, following his military campaigns against the Empire and his ability to enlist large-scale armies, allowing him to control both Egypt and parts of North Africa and the Middle East. In 1882, the Khedivate of Egypt became part of the British sphere of influence in the region, a situation that conflicted with its position as an autonomous vassal state of the Ottoman Empire. The country became a British protectorate in 1915 and achieved full independence in 1922, becoming a kingdom under the rule of Muhammad Ali's dynasty, which lasted until 1952. Gamal Abdel Nasser ended monarchical rule and established a republic in Egypt, known as the Republic of Egypt, following the 1952 Egyptian revolution.",71
